station,bin,Item,employee,User1,User2,quantity,Transdate,Transtime,type,TypeDescription,binqty,RelatedKey,CribBin,IssuedTo,Crib,UsageType
151,17,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,4,3796218,151-17,000329024794,151,1
152,28,8025719,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,3,3798674,152-28,001119208218,152,1
151,13,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,9,3798445,151-13,001324647630,151,1
151,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,6,3798444,151-14,001324647630,151,1
154,54,564419,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,6,3795452,154-54,002345434541,154,1
151,11,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,9,3796333,151-11,002345481181,151,1
151,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,7,3796329,151-14,002345481181,151,1
151,15,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,5,3796335,151-15,002345481181,151,1
154,30,27095597,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,6,3795388,154-30,002675034308,154,1
152,57,25132946,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,4,3796837,152-57,002675497028,152,1
154,54,564419,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,11,3795398,154-54,002679926180,154,1
150,60,25213023,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,1,3795935,150-60,002680002292,150,1
154,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,5,3796989,154-14,003337920442,154,1
152,57,25132946,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,6,3795890,152-57,003769138496,152,1
151,10,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,9,3795851,151-10,003779153936,151,1
154,52,564240,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,12,3795512,154-52,004129566574,154,1
151,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,9,3795942,151-14,004130001726,151,1
151,16,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,5,3798374,151-16,004130051342,151,1
151,17,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,5,3795987,151-17,004130131086,151,1
151,21,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,2,3794059,151-21,004130168846,151,1
154,24,8025719,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,7,3797290,154-24,004131181534,154,1
151,13,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,8,3798985,151-13,004131253678,151,1
154,13,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,5,3798217,154-13,004131287006,154,1
154,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,2,3797037,154-14,004131292366,154,1
151,14,8035504,i9007,None,None,-1,02/05/2022,13:27,X,CANCL,8,3796222,151-14,004133235630,151,1
